Time Interval (5 minutes),Export(-)/Import(+) Power (kW)
1,N/R
2,N/R
3,N/R
4,N/R
5,N/R
6,N/R
7,N/R
8,N/R
9,N/R
10,N/R
11,N/R
12,N/R
13,N/R
14,N/R
15,N/R
16,N/R
17,N/R
18,N/R
19,N/R
20,N/R
21,N/R
22,N/R
23,N/R
24,N/R
25,N/R
26,N/R
27,N/R
28,N/R
29,N/R
30,N/R
31,N/R
32,N/R
33,N/R
34,N/R
35,N/R
36,N/R
37,N/R
38,N/R
39,N/R
40,N/R
41,N/R
42,N/R
43,N/R
44,N/R
45,N/R
46,N/R
47,N/R
48,N/R
49,N/R
50,N/R
51,N/R
52,N/R
53,N/R
54,N/R
55,N/R
56,N/R
57,N/R
58,N/R
59,N/R
60,N/R
61,N/R
62,N/R
63,N/R
64,N/R
65,N/R
66,N/R
67,N/R
68,N/R
69,N/R
70,N/R
71,N/R
72,N/R
73,N/R
74,N/R
75,N/R
76,N/R
77,N/R
78,N/R
79,N/R
80,N/R
81,N/R
82,N/R
83,N/R
84,N/R
85,N/R
86,N/R
87,N/R
88,N/R
89,N/R
90,N/R
91,N/R
92,N/R
93,N/R
94,N/R
95,N/R
96,N/R
97,N/R
98,N/R
99,N/R
100,N/R
101,N/R
102,N/R
103,N/R
104,N/R
105,N/R
106,N/R
107,N/R
108,N/R
109,N/R
110,N/R
111,N/R
112,N/R
113,N/R
114,N/R
115,N/R
116,N/R
117,N/R
118,N/R
119,N/R
120,N/R
121,N/R
122,N/R
123,N/R
124,N/R
125,N/R
126,N/R
127,N/R
128,N/R
129,N/R
130,N/R
131,N/R
132,N/R
133,N/R
134,N/R
135,N/R
136,N/R
137,N/R
138,N/R
139,N/R
140,N/R
141,N/R
142,N/R
143,N/R
144,N/R
145,N/R
146,N/R
147,N/R
148,N/R
149,N/R
150,N/R
151,N/R
152,N/R
153,N/R
154,N/R
155,N/R
156,N/R
157,N/R
158,N/R
159,N/R
160,N/R
161,N/R
162,N/R
163,N/R
164,N/R
165,N/R
166,N/R
167,N/R
168,N/R
169,N/R
170,N/R
171,N/R
172,N/R
173,N/R
174,N/R
175,N/R
176,N/R
177,N/R
178,N/R
179,N/R
180,N/R
181,N/R
182,N/R
183,N/R
184,N/R
185,N/R
186,N/R
187,N/R
188,N/R
189,N/R
190,N/R
191,N/R
192,N/R
193,N/R
194,N/R
195,N/R
196,N/R
197,N/R
198,N/R
199,N/R
200,N/R
201,N/R
202,N/R
203,N/R
204,N/R
205,N/R
206,N/R
207,N/R
208,N/R
209,N/R
210,N/R
211,N/R
212,N/R
213,N/R
214,N/R
215,N/R
216,N/R
217,N/R
218,N/R
219,N/R
220,N/R
221,N/R
222,N/R
223,N/R
224,N/R
225,N/R
226,N/R
227,N/R
228,N/R
229,N/R
230,N/R
231,N/R
232,N/R
233,N/R
234,N/R
235,N/R
236,N/R
237,N/R
238,N/R
239,N/R
240,N/R
241,N/R
242,N/R
243,N/R
244,N/R
245,N/R
246,N/R
247,N/R
248,N/R
249,N/R
250,N/R
251,N/R
252,N/R
253,N/R
254,N/R
255,N/R
256,N/R
257,N/R
258,N/R
259,N/R
260,N/R
261,N/R
262,N/R
263,N/R
264,N/R
265,N/R
266,N/R
267,N/R
268,N/R
269,N/R
270,N/R
271,N/R
272,N/R
273,N/R
274,N/R
275,N/R
276,N/R
277,N/R
278,N/R
279,N/R
280,N/R
281,N/R
282,N/R
283,N/R
284,N/R
285,N/R
286,N/R
287,N/R
288,N/R
