Time Interval (5 minutes),Price ($/kW)
1.000000,0.039273
2.000000,0.039100
3.000000,0.038906
4.000000,0.038690
5.000000,0.038450
6.000000,0.038151
7.000000,0.037829
8.000000,0.037487
9.000000,0.037128
10.000000,0.036754
11.000000,0.036369
12.000000,0.035975
13.000000,0.035577
14.000000,0.035176
15.000000,0.034776
16.000000,0.034380
17.000000,0.033990
18.000000,0.033633
19.000000,0.033284
20.000000,0.032944
21.000000,0.032612
22.000000,0.032288
23.000000,0.031971
24.000000,0.031660
25.000000,0.031355
26.000000,0.031054
27.000000,0.030756
28.000000,0.030462
29.000000,0.030170
30.000000,0.029848
31.000000,0.029531
32.000000,0.029220
33.000000,0.028919
34.000000,0.028631
35.000000,0.028357
36.000000,0.028101
37.000000,0.027865
38.000000,0.027653
39.000000,0.027465
40.000000,0.027303
41.000000,0.027170
42.000000,0.027072
43.000000,0.027003
44.000000,0.026962
45.000000,0.026949
46.000000,0.026961
47.000000,0.026997
48.000000,0.027054
49.000000,0.027130
50.000000,0.027221
51.000000,0.027323
52.000000,0.027434
53.000000,0.027550
54.000000,0.027676
55.000000,0.027800
56.000000,0.027915
57.000000,0.028020
58.000000,0.028111
59.000000,0.028184
60.000000,0.028238
61.000000,0.028271
62.000000,0.028284
63.000000,0.028275
64.000000,0.028246
65.000000,0.028200
66.000000,0.028092
67.000000,0.027975
68.000000,0.027858
69.000000,0.027747
70.000000,0.027652
71.000000,0.027579
72.000000,0.027537
73.000000,0.027533
74.000000,0.027575
75.000000,0.027667
76.000000,0.027814
77.000000,0.028020
78.000000,0.028339
79.000000,0.028717
80.000000,0.029149
81.000000,0.029631
82.000000,0.030156
83.000000,0.030718
84.000000,0.031306
85.000000,0.031914
86.000000,0.032531
87.000000,0.033149
88.000000,0.033759
89.000000,0.034350
90.000000,0.034852
91.000000,0.035324
92.000000,0.035761
93.000000,0.036162
94.000000,0.036525
95.000000,0.036846
96.000000,0.037125
97.000000,0.037362
98.000000,0.037555
99.000000,0.037704
100.000000,0.037809
101.000000,0.037870
102.000000,0.037946
103.000000,0.037973
104.000000,0.037949
105.000000,0.037870
106.000000,0.037732
107.000000,0.037533
108.000000,0.037271
109.000000,0.036945
110.000000,0.036554
111.000000,0.036100
112.000000,0.035585
113.000000,0.035010
114.000000,0.034300
115.000000,0.033545
116.000000,0.032758
117.000000,0.031948
118.000000,0.031130
119.000000,0.030314
120.000000,0.029514
121.000000,0.028740
122.000000,0.028003
123.000000,0.027312
124.000000,0.026676
125.000000,0.026100
126.000000,0.025677
127.000000,0.025316
128.000000,0.025015
129.000000,0.024766
130.000000,0.024562
131.000000,0.024396
132.000000,0.024259
133.000000,0.024142
134.000000,0.024035
135.000000,0.023929
136.000000,0.023817
137.000000,0.023690
138.000000,0.023450
